Date,ASII.JK,ADRO.JK,ANTM.JK,MDKA.JK,BMRI.JK,INDF.JK,^JKSE
2025-02-14,4102.2109375,1819.8797607421875,1457.4337158203125,1650.0,4192.7119140625,7485.36572265625,6638.458984375
2025-02-17,4154.80322265625,1852.3775634765625,1481.2479248046875,1800.0,4438.13916015625,7557.8046875,6830.8818359375
2025-02-18,4207.3955078125,1836.128662109375,1476.485107421875,1800.0,4458.59130859375,7581.951171875,6873.55419921875
2025-02-19,4119.74169921875,1828.0042724609375,1500.2994384765625,1750.0,4233.61669921875,7726.8291015625,6794.8681640625
2025-02-20,4137.2724609375,1787.3818359375,1605.0821533203125,1810.0,4213.16455078125,7702.6826171875,6788.0419921875
2025-02-21,4163.568359375,1771.1329345703125,1543.1650390625,1825.0,4151.80712890625,7437.07275390625,6803.0009765625
2025-02-24,4119.74169921875,1779.2574462890625,1562.216552734375,1715.0,4110.90283203125,7630.24365234375,6749.60107421875
2025-02-25,3997.026123046875,1706.1373291015625,1557.45361328125,1545.0,3984.098876953125,7557.8046875,6587.0869140625
2025-02-26,4014.556884765625,1714.26171875,1552.6907958984375,1595.0,4025.003662109375,7461.21923828125,6606.17822265625
2025-02-27,4023.322265625,1681.763916015625,1547.927978515625,1455.0,3812.300048828125,7340.48779296875,6485.4482421875
2025-02-28,3970.729736328125,1681.763916015625,1509.8250732421875,1400.0,3763.21484375,6881.70703125,6270.59716796875
2025-03-03,4102.2109375,1665.514892578125,1509.8250732421875,1525.0,4008.641845703125,7099.0244140625,6519.658203125
2025-03-04,4110.97607421875,1551.7724609375,1466.9593505859375,1470.0,3959.555908203125,7074.8779296875,6380.40087890625
2025-03-05,4295.0498046875,1543.6480712890625,1543.1650390625,1480.0,3975.918212890625,7171.46337890625,6531.39892578125
2025-03-06,4295.0498046875,1665.514892578125,1547.927978515625,1475.0,3984.098876953125,7050.7314453125,6617.84716796875
2025-03-07,4321.34619140625,1624.892578125,1552.6907958984375,1530.0,3959.555908203125,7002.43896484375,6636.0
2025-03-10,4181.09912109375,1555.834716796875,1419.330810546875,1400.0,3853.204833984375,7292.19482421875,6598.2119140625
2025-03-11,4207.3955078125,1503.025634765625,1447.907958984375,1310.0,3877.747314453125,7026.5849609375,6545.85009765625
2025-03-12,4216.1611328125,1503.025634765625,1471.7222900390625,1330.0,3992.280029296875,7219.755859375,6665.044921875
2025-03-13,4146.03759765625,1515.21240234375,1462.196533203125,1340.0,3877.747314453125,7050.7314453125,6647.4169921875
2025-03-14,4049.6181640625,1470.52783203125,1514.587890625,1340.0,3877.747314453125,6930.0,6515.630859375
2025-03-17,4049.6181640625,1474.5899658203125,1576.5050048828125,1440.0,3828.661865234375,7026.5849609375,6471.94677734375
2025-03-18,4075.914306640625,1458.3411865234375,1557.45361328125,1420.0,3705.9482421875,6833.41455078125,6223.38818359375
2025-03-19,4110.97607421875,1462.4034423828125,1581.2679443359375,1410.0,3828.661865234375,6954.14599609375,6311.66015625
2025-03-20,4128.5068359375,1462.4034423828125,1566.9793701171875,1430.0,3779.576416015625,6785.12158203125,6381.673828125
2025-03-21,4242.45703125,1462.4034423828125,1509.8250732421875,1375.0,3607.777587890625,6736.8291015625,6258.17919921875
2025-03-24,4110.97607421875,1421.781005859375,1514.587890625,1345.0,3648.681884765625,6567.8046875,6161.2177734375
2025-03-25,4075.914306640625,1417.7188720703125,1524.1136474609375,1350.0,3877.747314453125,6567.8046875,6235.619140625
2025-03-26,4207.3955078125,1494.9012451171875,1571.7421875,1450.0,4213.16455078125,6688.53662109375,6472.35595703125
2025-03-27,4312.58056640625,1498.96337890625,1557.45361328125,1430.0,4254.06884765625,6857.560546875,6510.6201171875
2025-04-08,3926.90283203125,1336.4742431640625,1333.5994873046875,1220.0,3820.481201171875,6954.14599609375,5996.14208984375
2025-04-09,4049.6181640625,1340.536376953125,1405.042236328125,1040.0,3853.204833984375,6447.07275390625,5967.98779296875
2025-04-10,4128.5068359375,1381.15869140625,1552.6907958984375,1220.0,4110.90283203125,6833.41455078125,6254.02392578125
2025-04-11,4128.5068359375,1393.345458984375,1609.8450927734375,1305.0,4172.259765625,6664.39013671875,6262.22607421875
2025-04-14,4321.34619140625,1433.9677734375,1743.2049560546875,1440.0,4276.87158203125,6881.70703125,6368.51708984375
2025-04-15,4268.75341796875,1462.4034423828125,1771.7821044921875,1430.0,4240.85595703125,7050.7314453125,6441.68310546875
2025-04-16,4189.865234375,1462.4034423828125,1833.69921875,1415.0,4168.82421875,7147.31689453125,6400.05419921875
2025-04-17,4163.568359375,1462.4034423828125,1852.7506103515625,1645.0,4141.81298828125,7050.7314453125,6438.26904296875
2025-04-21,4198.63037109375,1466.465576171875,1990.8734130859375,1695.0,4150.81640625,7099.0244140625,6445.966796875
2025-04-22,4154.80322265625,1527.3990478515625,2086.130615234375,1665.0,4249.85986328125,6954.14599609375,6538.26611328125
2025-04-23,4224.92626953125,1503.025634765625,1971.822021484375,1570.0,4411.9306640625,7099.0244140625,6634.376953125
